,run_id,agent_id,obs,reward,action,done
0,1,0,[3. 1. 1. 5. 2. 2. 5. 6. 1. 0. 3. 2. 6. 5. 1.],0.0,2,False
1,1,1,[3. 1. 1. 5. 2. 2. 5. 6. 1. 6. 5. 1. 0. 3. 2.],0.0,5,False
2,1,0,[3. 1. 1. 5. 2. 2. 5. 6. 1. 1. 3. 2. 6. 5. 1.],0.0,2,False
3,1,1,[3. 1. 1. 5. 2. 2. 5. 6. 1. 6. 5. 1. 1. 3. 2.],0.0,5,False
4,1,0,[3. 1. 1. 5. 2. 2. 5. 6. 1. 2. 3. 2. 6. 5. 1.],0.0,2,False
5,1,1,[3. 1. 1. 5. 2. 2. 5. 6. 1. 6. 5. 1. 2. 3. 2.],0.0,5,False
6,1,0,[3. 1. 1. 5. 2. 2. 5. 6. 1. 3. 3. 2. 6. 5. 1.],0.0,3,False
7,1,1,[3. 1. 1. 5. 2. 2. 5. 6. 1. 6. 5. 1. 3. 3. 2.],0.0,5,False
8,1,0,[3. 1. 1. 5. 2. 2. 5. 6. 1. 3. 2. 2. 6. 5. 1.],0.25,5,False
9,1,1,[3. 1. 1. 5. 2. 2. 5. 6. 1. 6. 5. 1. 3. 2. 2.],0.0,5,False
10,1,0,[ 5.  2.  2.  5.  6.  1. -1. -1.  0.  3.  2.  2.  6.  5.  1.],0.0,2,False
11,1,1,[ 5.  2.  2.  5.  6.  1. -1. -1.  0.  6.  5.  1.  3.  2.  2.],0.0,4,False
12,1,0,[ 5.  2.  2.  5.  6.  1. -1. -1.  0.  4.  2.  2.  6.  6.  1.],0.5,5,False
13,1,1,[ 5.  2.  2.  5.  6.  1. -1. -1.  0.  6.  6.  1.  4.  2.  2.],0.0,3,False
14,1,0,[ 5.  6.  1. -1. -1.  0. -1. -1.  0.  4.  2.  2.  6.  5.  1.],0.0,4,False
15,1,1,[ 5.  6.  1. -1. -1.  0. -1. -1.  0.  6.  5.  1.  4.  2.  2.],0.0,4,False
16,1,0,[ 5.  6.  1. -1. -1.  0. -1. -1.  0.  4.  3.  2.  6.  6.  1.],0.0,4,True
17,1,1,[ 5.  6.  1. -1. -1.  0. -1. -1.  0.  6.  6.  1.  4.  3.  2.],0.25,5,True
18,2,0,[4. 2. 2. 4. 5. 2. 6. 1. 2. 2. 7. 2. 2. 2. 1.],0.0,3,False
19,2,1,[4. 2. 2. 4. 5. 2. 6. 1. 2. 2. 2. 1. 2. 7. 2.],0.0,2,False
20,2,0,[4. 2. 2. 4. 5. 2. 6. 1. 2. 2. 6. 2. 3. 2. 1.],0.0,3,False
21,2,1,[4. 2. 2. 4. 5. 2. 6. 1. 2. 3. 2. 1. 2. 6. 2.],0.0,3,False
22,2,0,[4. 2. 2. 4. 5. 2. 6. 1. 2. 2. 5. 2. 3. 1. 1.],0.0,2,False
23,2,1,[4. 2. 2. 4. 5. 2. 6. 1. 2. 3. 1. 1. 2. 5. 2.],0.0,2,False
24,2,0,[4. 2. 2. 4. 5. 2. 6. 1. 2. 3. 5. 2. 4. 1. 1.],0.0,3,False
25,2,1,[4. 2. 2. 4. 5. 2. 6. 1. 2. 4. 1. 1. 3. 5. 2.],0.0,3,False
26,2,0,[4. 2. 2. 4. 5. 2. 6. 1. 2. 3. 4. 2. 4. 0. 1.],0.0,2,False
27,2,1,[4. 2. 2. 4. 5. 2. 6. 1. 2. 4. 0. 1. 3. 4. 2.],0.0,4,False
28,2,0,[4. 2. 2. 4. 5. 2. 6. 1. 2. 4. 4. 2. 4. 1. 1.],0.0,3,False
29,2,1,[4. 2. 2. 4. 5. 2. 6. 1. 2. 4. 1. 1. 4. 4. 2.],0.0,2,False
30,2,0,[4. 2. 2. 4. 5. 2. 6. 1. 2. 4. 3. 2. 5. 1. 1.],0.3333333333333333,5,False
31,2,1,[4. 2. 2. 4. 5. 2. 6. 1. 2. 5. 1. 1. 4. 3. 2.],0.0,1,False
32,2,0,[ 4.  5.  2.  6.  1.  2. -1. -1.  0.  4.  3.  2.  4.  1.  1.],0.0,4,False
33,2,1,[ 4.  5.  2.  6.  1.  2. -1. -1.  0.  4.  1.  1.  4.  3.  2.],0.0,2,False
34,2,0,[ 4.  5.  2.  6.  1.  2. -1. -1.  0.  4.  4.  2.  5.  1.  1.],0.3333333333333333,5,False
35,2,1,[ 4.  5.  2.  6.  1.  2. -1. -1.  0.  5.  1.  1.  4.  4.  2.],0.0,0,False
36,2,0,[ 6.  1.  2. -1. -1.  0. -1. -1.  0.  4.  4.  2.  5.  1.  1.],0.0,3,False
37,2,1,[ 6.  1.  2. -1. -1.  0. -1. -1.  0.  5.  1.  1.  4.  4.  2.],0.0,3,False
38,2,0,[ 6.  1.  2. -1. -1.  0. -1. -1.  0.  4.  3.  2.  5.  0.  1.],0.0,2,False
